"","consent","demo_party","demo_party_forced","demo_ideology","demo_pol_forced","demo_gender","subject_rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","question","ideology","headline","headline_text","ideology_num","headline_politics","answer_num","batch","group"
"14.9...222","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",9,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"15.9...223","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",9,"is more right or conservative","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",1,"Rep",1,"1","mixed"
"16.9...224","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",9,"supports right or conservative views","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",1,"Rep",1,"1","mixed"
"17.9...225","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",9,"is politically neutral","Rep_x2","Dems scramble to prevent their own from defecting to Trump",0,"Rep",0,"1","mixed"
"18.9...226","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",9,"supports left or liberal views","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",-1,"Dem",-1,"1","mixed"
"19.9...227","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",9,"is politically neutral","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",0,"Rep",0,"1","mixed"
"20.9...228","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",9,"is politically neutral","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",0,"Dem",0,"1","mixed"
"21.9...229","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",9,"is more left or liberal","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",-1,"Dem",-1,"1","mixed"
"22.9...230","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",9,"supports left or liberal views","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",-1,"Rep",-1,"1","mixed"
"23.9...231","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",9,"is politically neutral","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",0,"Dem",0,"1","mixed"
"24.9...232","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",9,"supports left or liberal views","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"1","mixed"
"25.9...233","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",9,"is more left or liberal","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",-1,"Dem",-1,"1","mixed"
"26.9...234","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",9,"is more left or liberal","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-1,"Dem",-1,"1","mixed"
"1.10...235","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",10,"supports left or liberal views","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",-1,"Rep",-1,"1","mixed"
"2.10...236","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",10,"supports right or conservative views","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",1,"Rep",1,"1","mixed"
"3.10...237","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",10,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"4.10...238","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",10,"is more left or liberal","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",-1,"Rep",-1,"1","mixed"
"5.10...239","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",10,"is more right or conservative","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",1,"Rep",1,"1","mixed"
"6.10...240","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",10,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"7.10...241","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",10,"is politically neutral","Rep_x2","Dems scramble to prevent their own from defecting to Trump",0,"Rep",0,"1","mixed"
"8.10...242","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",10,"is politically neutral","Rep_x2","Dems scramble to prevent their own from defecting to Trump",0,"Rep",0,"1","mixed"
"9.10...243","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",10,"supports right or conservative views","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",1,"Dem",1,"1","mixed"
"10.10...244","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",10,"supports right or conservative views","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",1,"Dem",1,"1","mixed"
"11.10...245","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",10,"supports right or conservative views","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",1,"Dem",1,"1","mixed"
"12.10...246","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",10,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"13.10...247","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",10,"is more left or liberal","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",-1,"Rep",-1,"1","mixed"
"14.10...248","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",10,"is politically neutral","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",0,"Dem",0,"1","mixed"
"15.10...249","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",10,"is more right or conservative","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",1,"Rep",1,"1","mixed"
"16.10...250","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",10,"is more left or liberal","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"1","mixed"
"17.10...251","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",10,"is politically neutral","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"1","mixed"
"18.10...252","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",10,"supports right or conservative views","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",1,"Rep",1,"1","mixed"
"19.10...253","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",10,"is politically neutral","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"1","mixed"
"20.10...254","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",10,"is more right or conservative","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",1,"Rep",1,"1","mixed"
"21.10...255","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",10,"supports right or conservative views","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",1,"Dem",1,"1","mixed"
"22.10...256","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",10,"is more left or liberal","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"1","mixed"
"23.10...257","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",10,"supports right or conservative views","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",1,"Rep",1,"1","mixed"
"24.10...258","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",10,"is more left or liberal","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"1","mixed"
"25.10...259","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",10,"is more right or conservative","Rep_x2","Dems scramble to prevent their own from defecting to Trump",1,"Rep",1,"1","mixed"
"26.10...260","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",10,"is more left or liberal","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-1,"Dem",-1,"1","mixed"
"1.11...261","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",11,"supports left or liberal views","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-1,"Dem",-1,"1","mixed"
"2.11...262","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",11,"is politically neutral","Rep_x2","Dems scramble to prevent their own from defecting to Trump",0,"Rep",0,"1","mixed"
"3.11...263","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",11,"is politically neutral","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",0,"Rep",0,"1","mixed"
"4.11...264","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",11,"supports left or liberal views","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",-1,"Dem",-1,"1","mixed"
"5.11...265","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",11,"is more right or conservative","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",1,"Dem",1,"1","mixed"
"6.11...266","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",11,"is more left or liberal","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",-1,"Dem",-1,"1","mixed"
"7.11...267","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",11,"is more left or liberal","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",-1,"Dem",-1,"1","mixed"
"8.11...268","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",11,"supports left or liberal views","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-1,"Dem",-1,"1","mixed"
"9.11...269","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",11,"is more left or liberal","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"1","mixed"
"10.11...270","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",11,"supports left or liberal views","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-1,"Dem",-1,"1","mixed"
"11.11...271","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",11,"is more right or conservative","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",1,"Dem",1,"1","mixed"
"12.11...272","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",11,"is politically neutral","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",0,"Rep",0,"1","mixed"
"13.11...273","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",11,"is more left or liberal","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",-1,"Dem",-1,"1","mixed"
"14.11...274","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",11,"is politically neutral","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",0,"Dem",0,"1","mixed"
"15.11...275","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",11,"supports right or conservative views","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"1","mixed"
"16.11...276","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",11,"is more right or conservative","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",1,"Dem",1,"1","mixed"
"17.11...277","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",11,"is politically neutral","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",0,"Dem",0,"1","mixed"
"18.11...278","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",11,"supports left or liberal views","Rep_10","Islamic State is 100 Percent Defeated",-1,"Rep",-1,"1","mixed"
"19.11...279","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",11,"is politically neutral","Rep_10","Islamic State is 100 Percent Defeated",0,"Rep",0,"1","mixed"
"20.11...280","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",11,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"21.11...281","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",11,"supports right or conservative views","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",1,"Dem",1,"1","mixed"
"22.11...282","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",11,"supports left or liberal views","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-1,"Dem",-1,"1","mixed"
"23.11...283","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",11,"is politically neutral","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",0,"Rep",0,"1","mixed"
"24.11...284","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",11,"is more right or conservative","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",1,"Rep",1,"1","mixed"
"25.11...285","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",11,"is more left or liberal","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",-1,"Rep",-1,"1","mixed"
"26.11...286","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",11,"is more right or conservative","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",1,"Dem",1,"1","mixed"
"1.12...287","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",12,"supports left or liberal views","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"1","mixed"
"2.12...288","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",12,"is more left or liberal","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",-1,"Rep",-1,"1","mixed"
"3.12...289","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",12,"is politically neutral","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",0,"Dem",0,"1","mixed"
"4.12...290","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",12,"supports left or liberal views","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-1,"Rep",-1,"1","mixed"
"5.12...291","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",12,"is more right or conservative","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",1,"Dem",1,"1","mixed"
"6.12...292","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",12,"is more right or conservative","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",1,"Dem",1,"1","mixed"
"7.12...293","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",12,"is more right or conservative","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",1,"Dem",1,"1","mixed"
"8.12...294","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",12,"supports left or liberal views","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",-1,"Dem",-1,"1","mixed"
"9.12...295","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",12,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"10.12...296","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",12,"supports right or conservative views","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"1","mixed"
"11.12...297","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",12,"is politically neutral","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",0,"Rep",0,"1","mixed"
"12.12...298","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",12,"is politically neutral","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",0,"Rep",0,"1","mixed"
"13.12...299","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",12,"supports right or conservative views","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",1,"Rep",1,"1","mixed"
"14.12...300","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",12,"is politically neutral","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",0,"Dem",0,"1","mixed"
"15.12...301","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",12,"is politically neutral","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"1","mixed"
"16.12...302","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",12,"is more left or liberal","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"1","mixed"
"17.12...303","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",12,"is politically neutral","Rep_7","America Created 304,000 Jobs in January, Smashing Estimates",0,"Rep",0,"1","mixed"
"18.12...304","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",12,"supports right or conservative views","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",1,"Dem",1,"1","mixed"
"19.12...305","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",12,"is politically neutral","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",0,"Rep",0,"1","mixed"
"20.12...306","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",12,"is more left or liberal","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",-1,"Dem",-1,"1","mixed"
"21.12...307","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",12,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"22.12...308","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",12,"supports left or liberal views","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"23.12...309","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",12,"is politically neutral","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"1","mixed"
"24.12...310","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",12,"is politically neutral","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",0,"Rep",0,"1","mixed"
"25.12...311","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",12,"is more right or conservative","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",1,"Dem",1,"1","mixed"
"26.12...312","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",12,"is more right or conservative","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",1,"Dem",1,"1","mixed"
