study,group,question,answer,submit_time,source,source_politics,source_alignment,headline,headline_type,headline_politics,headline_alignment,subject_id,subject_politics,demo_party,demo_ideology,demo_ideology_forced,demo_gender,demo_education,demo_birthyear,demo_age,relevant_for_analysis,source_familiarity,source_trust,source_trust_num
Study 1,bonus,9,TRUE,7.211,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_308,liberal,Independent,somewhat conservative,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1985,34,TRUE,yes,Barely,0.25
Study 1,bonus,9,TRUE,6.881,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_312,conservative,Independent,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1967,52,TRUE,yes,Somewhat,0.5
Study 1,control,9,TRUE,6.266,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_315,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1990,29,TRUE,yes,Somewhat,0.5
Study 1,control,9,TRUE,7.545,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_326,conservative,Republican,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1953,66,TRUE,no,Barely,0.25
Study 1,control,9,TRUE,6.663,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_328,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1971,48,TRUE,yes,Not at all,0
Study 1,bonus,9,TRUE,15.009,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_330,conservative,Republican,conservative,Right or center-right,Male,"Professional degree (e.g. MD, JD)",1984,35,TRUE,yes,Somewhat,0.5
Study 1,bonus,9,TRUE,9.382,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_331,liberal,Democrat,liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,A lot,0.75
Study 1,bonus,9,FALSE,8.1,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_333,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1978,41,TRUE,yes,A lot,0.75
Study 1,bonus,9,FALSE,7.219,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_335,conservative,Republican,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,A lot,0.75
Study 1,control,9,FALSE,15.006,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_336,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,Not at all,0
Study 1,control,9,TRUE,6.887,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_342,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,A lot,0.75
Study 1,bonus,9,FALSE,8.484,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_347,conservative,Independent,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1952,67,TRUE,yes,A lot,0.75
Study 1,control,9,TRUE,8.855,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_348,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1952,67,TRUE,yes,Not at all,0
Study 1,bonus,9,TRUE,7.275,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_353,conservative,Republican,no opinion,Right or center-right,Female,High school degree or equivalent (e.g. GED),1980,39,TRUE,yes,Entirely,1
Study 1,control,9,FALSE,11.222,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_354,liberal,Independent,somewhat conservative,Left or center-left,Female,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,A lot,0.75
Study 1,bonus,9,TRUE,6.31,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_359,liberal,Independent,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1984,35,TRUE,yes,Entirely,1
Study 1,control,9,TRUE,6.638,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_363,liberal,Independent,somewhat conservative,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1968,51,TRUE,yes,A lot,0.75
Study 1,bonus,9,FALSE,7.623,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_365,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1986,33,TRUE,yes,A lot,0.75
Study 1,control,9,FALSE,15.008,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_370,liberal,Republican,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Somewhat,0.5
Study 1,bonus,9,FALSE,10.389,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_371,liberal,Republican,conservative,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1979,40,TRUE,yes,Somewhat,0.5
Study 1,bonus,9,FALSE,6.843,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_377,conservative,Independent,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,yes,Barely,0.25
Study 1,bonus,9,FALSE,6.489,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_378,conservative,Republican,somewhat conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1982,37,TRUE,yes,Entirely,1
Study 1,bonus,9,TRUE,15.106,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_382,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1983,36,TRUE,yes,A lot,0.75
Study 1,control,9,TRUE,7.367,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_385,conservative,Independent,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1973,46,TRUE,yes,Barely,0.25
Study 1,control,10,FALSE,6.813,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_2,liberal,Independent,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1982,37,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,6.79,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_4,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1977,42,TRUE,yes,Not at all,0
Study 1,control,10,TRUE,7.06,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_6,conservative,Independent,somewhat conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1974,45,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,6.99,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_11,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1971,48,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,7.141,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_13,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1967,52,TRUE,yes,Entirely,1
Study 1,control,10,FALSE,7.303,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_14,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1959,60,TRUE,yes,Not at all,0
Study 1,control,10,TRUE,6.622,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_19,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1990,29,TRUE,yes,Barely,0.25
Study 1,control,10,FALSE,6.608,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_25,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1968,51,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,FALSE,7.216,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_31,liberal,Independent,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1983,36,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,6.586,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_33,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,6.79,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_34,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1990,29,TRUE,yes,Barely,0.25
Study 1,bonus,10,FALSE,8.262,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_37,liberal,Democrat,liberal,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1983,36,TRUE,yes,Barely,0.25
Study 1,bonus,10,TRUE,10.303,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_38,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,6.956,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_40,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1989,30,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,6.937,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_43,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,A lot,0.75
Study 1,control,10,FALSE,7.324,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_45,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,10.183,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_48,liberal,Democrat,liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1990,29,TRUE,yes,Barely,0.25
Study 1,control,10,TRUE,6.052,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_60,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1997,22,TRUE,yes,Barely,0.25
Study 1,bonus,10,TRUE,6.795,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_65,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,8.208,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_67,conservative,Independent,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,7.09,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_68,liberal,Republican,conservative,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1977,42,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,7.444,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_70,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1963,56,TRUE,yes,Barely,0.25
Study 1,bonus,10,FALSE,8.844,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_85,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1967,52,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,7.654,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_91,conservative,Republican,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1953,66,TRUE,yes,A lot,0.75
Study 1,bonus,10,FALSE,14.544,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_92,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,6.199,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_94,liberal,Democrat,no opinion,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,6.457,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_98,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Not at all,0
Study 1,control,10,TRUE,7.966,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_104,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1986,33,TRUE,yes,Not at all,0
Study 1,control,10,FALSE,8.878,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_105,liberal,Democrat,liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1979,40,TRUE,yes,Not at all,0
Study 1,control,10,TRUE,7.668,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_106,conservative,Independent,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Not at all,0
Study 1,control,10,TRUE,10.541,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_110,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,15.01,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_111,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,6.712,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_112,conservative,Independent,somewhat conservative,Right or center-right,Male,"Professional degree (e.g. MD, JD)",1986,33,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,6.674,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_118,liberal,Other,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1995,24,TRUE,no,Not at all,0
Study 1,control,10,TRUE,8.437,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_122,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,8.446,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_123,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1976,43,TRUE,yes,Not at all,0
Study 1,control,10,FALSE,7.372,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_129,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,13.301,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_132,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1993,26,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,8.722,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_146,liberal,Independent,liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1981,38,TRUE,yes,Not at all,0
Study 1,control,10,FALSE,15.009,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_147,conservative,Independent,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,10.2,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_148,liberal,Democrat,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1983,36,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,10.958,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_155,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,9.732,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_156,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Barely,0.25
Study 1,bonus,10,FALSE,10.96,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_157,conservative,Republican,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,7.607,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_162,liberal,Independent,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,9.251,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_167,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1963,56,TRUE,yes,Barely,0.25
Study 1,control,10,TRUE,6.578,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_172,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1960,59,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,6.634,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_173,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,yes,Entirely,1
Study 1,control,10,TRUE,6.625,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_174,conservative,Republican,conservative,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1980,39,TRUE,yes,Barely,0.25
Study 1,bonus,10,TRUE,8.104,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_178,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,7.299,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_181,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1970,49,TRUE,yes,Entirely,1
Study 1,control,10,TRUE,6.547,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_190,conservative,Democrat,no opinion,Right or center-right,Male,High school degree or equivalent (e.g. GED),1978,41,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,8.236,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_203,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1972,47,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,7.61,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_208,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1966,53,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,13.963,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_209,conservative,Republican,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1962,57,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,11.739,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_214,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1969,50,TRUE,yes,A lot,0.75
Study 1,control,10,FALSE,7.301,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_229,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1978,41,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,5.639,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_238,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,15.096,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_239,liberal,Democrat,somewhat conservative,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,A lot,0.75
Study 1,control,10,FALSE,11.158,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_240,conservative,Democrat,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1959,60,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,11.631,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_241,liberal,Independent,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1988,31,TRUE,yes,A lot,0.75
Study 1,control,10,FALSE,6.786,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_246,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1957,62,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,6.757,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_262,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1970,49,TRUE,yes,Barely,0.25
Study 1,control,10,TRUE,7.426,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_263,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1996,23,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,15.169,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_265,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,FALSE,6.417,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_272,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1991,28,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,8.38,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_274,liberal,Democrat,liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1978,41,TRUE,yes,A lot,0.75
Study 1,control,10,TRUE,7.917,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_275,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1978,41,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,6.669,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_276,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1968,51,TRUE,yes,Not at all,0
Study 1,control,10,FALSE,7.501,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_279,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,A lot,0.75
Study 1,bonus,10,FALSE,9.444,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_282,liberal,Democrat,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,10.184,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_288,conservative,Independent,conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1989,30,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,6.311,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_289,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,A lot,0.75
Study 1,bonus,10,FALSE,7.666,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_299,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1979,40,TRUE,yes,Entirely,1
Study 1,control,10,TRUE,8.952,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_300,liberal,Democrat,liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,6.515,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_308,liberal,Independent,somewhat conservative,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1985,34,TRUE,yes,A lot,0.75
Study 1,control,10,FALSE,8.198,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_317,liberal,Republican,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,9.369,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_318,liberal,Independent,somewhat conservative,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1963,56,TRUE,yes,Barely,0.25
Study 1,control,10,TRUE,8.332,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_320,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,A lot,0.75
Study 1,bonus,10,FALSE,10.556,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_321,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1992,27,TRUE,yes,Somewhat,0.5
Study 1,control,10,TRUE,13.734,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_326,conservative,Republican,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1953,66,TRUE,no,Barely,0.25
Study 1,control,10,FALSE,8.52,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_329,liberal,Democrat,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1981,38,TRUE,yes,Somewhat,0.5
Study 1,control,10,FALSE,9.865,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_338,conservative,Independent,somewhat conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1966,53,TRUE,yes,Barely,0.25
Study 1,bonus,10,FALSE,9.503,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_343,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Barely,0.25
Study 1,control,10,TRUE,12.088,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_351,liberal,Republican,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1982,37,TRUE,yes,A lot,0.75
Study 1,bonus,10,TRUE,7.401,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_352,liberal,Independent,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1973,46,TRUE,yes,Not at all,0
Study 1,bonus,10,TRUE,7.204,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_368,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1946,73,TRUE,yes,Not at all,0
Study 1,bonus,10,FALSE,7.793,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_369,conservative,Democrat,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1991,28,TRUE,yes,Somewhat,0.5
Study 1,bonus,10,TRUE,11.236,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_371,liberal,Republican,conservative,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1979,40,TRUE,yes,Somewhat,0.5
